Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
616,Black-headed Grosbeak,BHGR,Pheucticus melanocephalus,"VAFB, Santa Ynez River downstream of 13th St",5 Jul 2004,Dave Compton,Nestling in Nest,willow,2.2,Nest loosely constructed of twigs so that you could see through from below. Pair very agitated at my presence; 1 unfeathered newborn nestling lying flat in nest.,,34.6774335,-120.5591008,100,8,,"MSE field notes, Vandenberg 2004",-13420577.71155094,4120131.5894705774
617,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, Wildlife Management Ponds",5 Jul 2004,Dave Compton,No suitable category,,,"Juvenile heard calling from willows, not seen",,34.6795141,-120.5648672,100,7,,"MSE field notes, Vandenberg 2004",-13421219.62426265,4120413.232466858
619,Lesser Goldfinch,LEGO,Spinus psaltria,"VAFB, Santa Ynez River x 13th St.",5 Jul 2004,Dave Compton,Fledgling Begging,,,"2 juveniles (1 begging), accompanied by adult female, coming down to river channel",,34.6770654,-120.5546812,50,8,,"MSE field notes, Vandenberg 2004",-13420085.723929431,4120081.7618947816
620,White-throated Swift,WTSW,Aeronautes saxatalis,"Gaviota vicinity, US 101 X Hwy 1",7 May 2004,Patrick McNulty,Cavity Nester Attending Cavity,bridge,,"10-15 birds entering at least 3 different holes, staying approximately 30 seconds before reemerging.",,34.5090634,-120.2259216,300,102,,,-13383488.372664033,4097363.352864113
621,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, San Antonio Ck",6 Jul 2004,Dave Compton,No suitable category,,,"Juvenile heard calling from willows, not seen",at Lompoc-Casmalia Rd,34.7736154,-120.556467,75,19,,"MSE field notes, Vandenberg 2004",-13420284.51827609,4133158.780445562
622,Warbling Vireo,WAVI,Vireo gilvus,"N VAFB, Lompoc-Casmalia Rd",6 Jul 2004,Dave Compton,Fledgling Begging,,,"Begging juvenile under parental care, but also pulling at leaves as if trying to feed itself; no food delivery witnessed",E of San Antonio Creek,34.76905,-120.5501659,30,42,,"MSE field notes, Vandenberg 2004",-13419583.083032653,4132540.0848505674
623,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Lompoc-Casmalia Rd",6 Jul 2004,Dave Compton,Fledgling under Parental Care,,,"Juvenile under parental care, begging", nr San Antonio Creek,34.7713941,-120.5558333,30,25,,"MSE field notes, Vandenberg 2004",-13420213.975114774,4132857.749201116
624,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Lompoc-Casmalia Rd",6 Jul 2004,Dave Compton,Feeding Fledgling,,,"Adult feeding begging juvenile (gray sides, brown and scruffy looking above)",W of Utah Gate,34.7661513,-120.5434907,20,76,,"MSE field notes, Vandenberg 2004",-13418840.003167707,4132147.2754965075
625,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Lompoc-Casmalia Rd",6 Jul 2004,Dave Compton,Fledgling Begging,,,"Advanced juvenile (mostly black cap) begging from, following adult",W of Utah Gate,34.7627919,-120.5365117,30,91,,"MSE field notes, Vandenberg 2004",-13418063.104441464,4131692.052906766
626,Anna's Hummingbird,ANHU,Calypte anna,"Santa Ynez Mtns, 5797 West Camino Cielo",7 Jul 2004,Mark Holmgren,Fledgling under Parental Care,,,Adult Anna's Hummingbird tending juv!,have no idea if these are local or not.,34.50073,-119.82559,250,686,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338923.662803575,4096237.646201061
628,Killdeer,KILL,Charadrius vociferus,"Santa Barbara, Mission Ck Estuary",8 Jul 2004,Dave Compton,Fledgling under Parental Care,,,"1-2 adults with four juveniles virtually adult size, with long but ragged tails, wings not grown out, subdued upper breast band, and pale edgings to flight feathers.  On 15 July 2004, Compton saw 4 juveniles with 1 adult; the juveniles appear more or less the same as they did a week earlier, but at least one is able to fly short distances. Also, they are more strongly double banded. Their tails are still ragged.","Fairly busy public beach in central Santa Barbara, just 4 days after a big 4th of July celebration. See also 15 July 2004. Mission Ridge x E. Las Tunas",34.4129722,-119.6872636,150,3,,Compton field notes,-13323525.238392305,4084389.819234056
630,American Robin,AMRO,Turdus migratorius,"Montecito, Cold Spring trailhead",10 Jul 2004,Dave Compton,Feeding Fledgling,,,"Adult feeding fledgling (dusky bill seen from below, short tail at least half length, mostly white below with dark spots, rufous confined to sides). Begging call is single or double raspy note similar to BHCo, but not as strong",,34.455822,-119.6533107,50,240,,Compton field notes,-13319745.618853353,4090173.2424692796
631,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, Santa Ynez River",11 Jul 2004,Dave Compton,No suitable category,,,Juvenile heard calling from willows,", midway between Union Sugar and 13th St. See 17 July 2004 sighting. Same?",34.6797339,-120.5461671,150,10,,"MSE field notes, Vandenberg 2004",-13419137.93865287,4120442.986379393
632,Song Sparrow,SOSP,Melospiza melodia,"VAFB, Santa Ynez River nr Union Sugar",11 Jul 2004,Dave Compton,Fledgling Begging,,,"Begging juvenile under parental care, but no food deliveries seen.",,34.68045,-120.5378293,200,13,,"MSE field notes, Vandenberg 2004",-13418209.77900253,4120539.924037136
633,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Union Sugar",11 Jul 2004,Dave Compton,Fledgling Begging,,,"Juvenile (some gray below; brown and scruffy above), moving around in willows, begging; adult chip heard, but adult not seen.",,34.6804852,-120.5378293,200,13,,"MSE field notes, Vandenberg 2004",-13418209.77900253,4120544.6890434637
635,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, Lake Cyn",13 Jul 2004,Dave Compton,Fledgling Begging,,,Juvenile call heard,nr lower lake,34.7052566,-120.5032116,75,46,,"MSE field notes, Vandenberg 2004",-13414356.154266097,4123898.483512091
636,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, Lake Cyn",13 Jul 2004,Dave Compton,Fledgling Begging,,,Juvenile call heard,nr upper lake,34.731037,-120.5150043,30,81,,"MSE field notes, Vandenberg 2004",-13415668.911625173,4127389.952854504
637,Lawrence's Goldfinch,LAGO,Spinus lawrencei,"N VAFB, Wildlife Management Ponds",13 Jul 2004,Dave Compton,No suitable category,,,,,34.681464,-120.5631949,100,8,,"MSE field notes, Vandenberg 2004",-13421033.464678196,4120677.1895193546
638,Pied-billed Grebe,PBGR,Podilymbus podiceps,"N VAFB, Lake Cyn",13 Jul 2004,Dave Compton,No suitable category,,,,lower lake,34.7121714,-120.501912,30,45,,"MSE field notes, Vandenberg 2004",-13414211.483455863,4124834.8560429527
639,Cinnamon Teal,CITE,Spatula cyanoptera,"N VAFB, Mod Pond",15 Jul 2004,Dave Compton,Fledgling under Parental Care,,,1 adult female with 2 2/3 grown ducklings,,34.78803,-120.58578,20,24,,"MSE field notes, Vandenberg 2004",-13423547.626509713,4135112.4483284396
641,Killdeer,KILL,Charadrius vociferus,"N VAFB, Mod Pond",15 Jul 2004,Dave Compton,Fledgling under Parental Care,,,Adult with grown to nearly grown juvenile (2 breast bands--one faint--wings and tail well grown),,34.7878451,-120.5855723,50,24,,"MSE field notes, Vandenberg 2004",-13423524.505451474,4135087.3859368833
642,White-crowned Sparrow,WCSP,Zonotrichia leucophrys,"N VAFB, Mod Pond",15 Jul 2004,Dave Compton,Juvenile Independent,,,"Independent juvenile, still well streaked below and with reddish brown stripes on head",,34.7879919,-120.5807054,30,27,,"MSE field notes, Vandenberg 2004",-13422982.724621734,4135107.2840343993
643,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Mod Pond",15 Jul 2004,Dave Compton,Fledgling Begging,,,"Apparent juvenile, independent of any adult; fully developed wings and tail, with no black on cap, but not at all likely to be a migrant from the northwest, given the time of year",,34.7874359,-120.5826667,10,27,,"MSE field notes, Vandenberg 2004",-13423201.055539025,4135031.920854739
644,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",15 Jul 2004,Dave Compton,Fledgling Begging,,,Juvenile (extensively gray below) begging from adult,,34.6866061,-120.55977,75,12,,"MSE field notes, Vandenberg 2004",-13420652.20655418,4121373.3030066867
645,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"N VAFB, Santa Ynez River x 13th St.",17 Jul 2004,Dave Compton,Nest in Use (clarify),bridge,5,"2+ birds near 13 nests from this year, with at least one bird flying into one nest repeatedly, and a 3rd third poking it's head out of the hole in the same nest",,34.67683,-120.55435,20,7,,"MSE field notes, Vandenberg 2004",-13420048.85491408,4120049.897269397
646,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, Santa Ynez River",17 Jul 2004,Dave Compton,Fledgling under Parental Care,,,"2+ juveniles heard, 1 seen (nearly grown-out tail just showing 4th band when in flight; it flew well)",700m E of 13th St. See 11 July 2004 sighting. Same?,34.67871,-120.5467964,50,9,,"MSE field notes, Vandenberg 2004",-13419207.992008423,4120304.383635388
647,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Santa Ynez River",17 Jul 2004,Dave Compton,Juvenile Independent,,,"Independent juvenile (black border to cap, but otherwise as adult)",", 700m E of 13th St.",34.6787459,-120.5467964,50,9,,"MSE field notes, Vandenberg 2004",-13419207.992008423,4120309.2432982717
649,Pied-billed Grebe,PBGR,Podilymbus podiceps,Goleta Slough,27 Jul 2004,Wes Fritz,Juvenile Independent,,,2 juveniles,,34.4209525,-119.8483723,0,1,,,-13341459.776838673,4085466.693009768
650,Hooded Oriole,HOOR,Icterus cucullatus,"Goleta, Atascadero Ck",30 Jul 2004,Dave Compton,Delivering Food to Nest or Cavity,Eucalyptus,3,"Adult male making repeated trips to nest, once seen carrying food (insect), and loud begging heard frequently coming from nest.","near Walnut Lane. See 7 August 2004 record for Atascadero Creek mitigation site, which is very near here and could easily involve the same pair/brood",34.426046,-119.801561,100,8,,Compton field notes,-13336248.766759304,4086154.0713541824
651,Barn Swallow,BARS,Hirundo rustica,"Santa Barbara, Andree Clark Bird Refuge",1 Aug 2004,Dave Compton,Fledgling Begging,,,1+ begging juvenile,,34.42082,-119.66178,100,3,,Compton field notes,-13320688.417016728,4085448.8124199575
652,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"Santa Barbara, Andree Clark Bird Refuge",1 Aug 2004,Dave Compton,Fledgling out of Nest--Brancher,,,"2+ fledged juveniles probably less than a week out of the nest, with extensive yellow around the gape",,34.42087,-119.66178,100,3,,Compton field notes,-13320688.417016728,4085455.5598090095
654,Pied-billed Grebe,PBGR,Podilymbus podiceps,"Santa Barbara, Andree Clark Bird Refuge",1 Aug 2004,Dave Compton,Juvenile Independent,,,"2 fully grown juveniles feeding themselves, but still showing the juvenile face pattern.",,34.42067,-119.663503,50,1,,Compton field notes,-13320880.220499363,4085428.570277007
655,Hooded Oriole,HOOR,Icterus cucullatus,"Goleta, Atascadero Ck mitigation area",7 Aug 2004,Dave Compton,Fledgling Begging,,,"Begging fledgling (<half-grown tail, extensively yellow bill) being fed by adult female.","See 30 July 2004 record for Atascadero Creek near Walnut Dr, which is very near here; this record could easily involve the same pair/brood. Also, Greaves and Chadwick report adults feeding juveniles at W end Mitigation area on 17 July 2004.",34.4245249,-119.8065686,50,8,,Compton field notes,-13336806.2102414,4085948.791381965
656,Northern Mockingbird,NOMO,Mimus polyglottos,"Santa Barbara, 1114 Garden St.",10 Aug 2004,Dave Compton,Fledgling Begging,,,"Adult making occasional food deliveries to begging juvenile (streaked breast, tail grown in except for outermost rectrices)",,34.42621,-119.6997064,20,21,,Compton field notes,-13324910.36455235,4086176.2041888083
657,House Finch,HOFI,Haemorhous mexicanus,"Santa Barbara, 1114 Garden St.",12 Aug 2004,Dave Compton,Fledgling Begging,,,"Begging juvenile (with some white downy feathers on head, but fully grown tail, fluttering wings and giving begging call) following adult male",See also record for 13 August from this location,34.42617,-119.6997064,20,21,,Compton field notes,-13324910.36455235,4086170.8059324566
658,House Finch,HOFI,Haemorhous mexicanus,"Santa Barbara, 1114 Garden St.",13 Aug 2004,Dave Compton,Fledgling Begging,,,"Four begging juveniles now present, one still with one or two white feathers on head. All have obvious brown edgings to greater coverts. Adult male and female both present.",See also record for 12 August from this location,34.4261389,-119.6997064,20,21,,Compton field notes,-13324910.36455235,4086166.6087899287
659,Western Bluebird,WEBL,Sialia mexicana,"Carpinteria Ck, downstream of Carpinteria Ave",6 Sep 2004,Dave Compton,Juvenile Independent,,,"Independent juvenile, but young looking (heavily marked breast, pale base to the bill and pale mouth lining)","With Marantz, C.",34.3925564,-119.5142111,20,6,,Compton field notes,-13304261.122211805,4081635.3477937495
660,Scaly-breasted Munia,SBMU,Lonchura punctulata,"Goleta, Atascadero Ck",23 Sep 2004,Dave Compton,Feeding Fledgling,,,Adult feeding 2 of 6 begging fledglings,,34.4275182,-119.7947456,50,8,,Compton field notes,-13335490.07990175,4086352.755586464
661,Red-shouldered Hawk,RSHA,Buteo lineatus,"Santa Maria, Preisker Park",16 Dec 2004,Jamie Chavez,Nest Building,pine,,Pair building a nest high in a pine tree.,,34.9834105,-120.43902,100,63,,,-13407210.378040891,4161626.9257493312
662,Anna's Hummingbird,ANHU,Calypte anna,"Santa Barbara, Arroyo Burro Ck",23 Dec 2004,Dave Compton,Adult at Nest (clarify),Western Sycamore,6,Female on nest,Arroyo Burro Creek nr Portofino,34.4284367,-119.7506837,50,9,,Compton field notes,-13330585.131630365,4086476.7156984974
663,Anna's Hummingbird,ANHU,Calypte anna,"Summerland, Pacifica Graduate Institute",23 Jan 2005,Melissa Kelly,Adult at Nest (clarify),Eucalyptus,3,Female on nest,,34.4206212,-119.5808021,20,41,,,-13311673.998423219,4085421.984840998
664,Great Blue Heron,GBHE,Ardea herodias,"Cachuma Lake, Santa Cruz Bay",23 Jan 2005,Halli Pedersen,Nest Building,Coast Live Oak,,Two adults building a nest,Same nest as on 11 March 2005 (Incubating adult) by H. Pedersen.,34.5777,-119.926677,25,245,,,-13350176.616169395,4106639.3261424266
665,Great Blue Heron,GBHE,Ardea herodias,"Goleta, SoCal Gas Plant, nr Goleta Slough mouth",29 Jan 2005,Dave Compton,Adult at Nest (clarify),Eucalyptus,6.4,"Approx. 6 adults gathered in rookery, with 3 standing on nests. Bowdish and Braunger report recent nest building. Updates, all from Compton: 6-Feb-05, Approx. 13 birds standing around or on nests, with some rearranging sticks, but no nest material carry and no incubation.  20-Feb-05, Adults sitting low on 5 nests (all incubating? see comments); 2 additional nests with adults standing; some nest material carries witnessed.  27-Feb-05, 2 adults incubating with at least 5 others at nests.  18-Mar-05, 1 nest with two nestlings visible; 5 other nests with incubating adults. 4 other nest structures. 25-Mar-05, 1 nest with two nestlings; 2 other nests with birds apparently incubating, 3 nests with adults standing on the edge and possibly with young in the nest. In addition, one adult was standing at the edge of a nest where one nestling old enough to raise its head could be seen.  30-Mar-05, In addition to nestlings seen on 25 March, 1 nest with a fairly large downy nestling sitting low. 10 nests totals in the rookery, with only 2 birds incubating and the others probably in the nestling stage (most with adults standing at rim of nest).  12-Apr-05, Millikan reports 2 nestlings from 19 March are branching.","With Braunger, K; Bowdish, C.  Based on 18 March 2005 observation, incubating likely started at one nest around 29 January.",34.41843,-119.8285,50,3,,Compton field notes,-13339247.60252178,4085126.291929016
666,Anna's Hummingbird,ANHU,Calypte anna,"Santa Barbara, Santa Barbara Cemetery",30 Jan 2005,Jim Greaves,Adult at Nest (clarify),,,2 females incubating on nests,,34.4195398,-119.6573522,100,24,,,-13320195.516575392,4085276.05364484
667,Anna's Hummingbird,ANHU,Calypte anna,"Santa Barbara, Santa Barbara Cemetery",30 Jan 2005,Jim Greaves,Nest Building,,,female building nest,,34.41935,-119.65741,100,24,,,-13320201.950841961,4085250.440984871
668,Great Blue Heron,GBHE,Ardea herodias,"Santa Barbara, Pershing Park",31 Jan 2005,Dave Compton,Adult at Nest (clarify),Eucalyptus,7.6,"1 adult standing on nest, with a second nearby. On 19 Feb 2005, Compton saw 2 nests, but with no incubating yet witnessed; adults seen at both nests several days previously. On 5 March 2005, Compton saw 3 active nests, 2 with incubating adults and 1 with 2 adults standing, one of them arranging sticks in the nest.",Nest site from previous years. nr Castillo x Mason,34.40848,-119.69533,50,4,,Compton field notes,-13324423.185932841,4083783.6801575003
670,Mourning Dove,MODO,Zenaida macroura,"Santa Barbara, 1114 Garden St.",13 Feb 2005,Dave Compton,Carrying Nesting Material,,,Nest material carry (possibly a long shoot of grass),,34.42609,-119.6997064,20,21,,Compton field notes,-13324910.36455235,4086160.0094275046
671,Great Horned Owl,GHOW,Bubo virginianus,"Cachuma Lake, Little Cachuma Bay",18 Feb 2005,Liz Mason,Adult at Nest (clarify),Coast Live Oak,5,Incubating adult,"See records for 16 March (Adult still apparently incubating), 20 March 2005 (Adult still apparently incubating), 29 April 2005 (One chick approximately 21 days old.), all observed by Halli Pedersen.",34.59602,-119.95409,250,247,,,-13353228.217370506,4109116.498364115
672,Brandt's Cormorant,BRAC,Phalacrocorax penicillatus,"Ellwood, pier remnant off Haskell's Beach",19 Feb 2005,Dave Compton,Nest Building,,,2 adults building 2 separate nests.,"Nesting recorded here previously, but success never confirmed. See also entries for 22 May and 22 June for this location and year.",34.42387,-119.91051,25,10,,Compton field notes,-13348376.913961738,4085860.41053639
674,Great Blue Heron,GBHE,Ardea herodias,"Cachuma Lake, Santa Cruz Bay",19 Feb 2005,Halli Pedersen,Adult at Nest (clarify),Coast Live Oak,,Incubating adult,Different nest from the one in records for 11 March and 23 January 2005,34.5777483,-119.926677,25,245,,,-13350176.616169395,4106645.8563971096
676,Red-tailed Hawk,RTHA,Buteo jamaicensis,"Cachuma Lake, Cachuma Bay",26 Feb 2005,Halli Pedersen,Nest Building,Valley Oak,,Two adults building a nest in the treetop,"Checked on 17 March 2005 (Adult incubating), by H. Pedersen",34.59251,-119.95096,200,251,,,-13352879.787364326,4108641.8450122564
678,Red-tailed Hawk,RTHA,Buteo jamaicensis,"Goleta, COPR, Devereux Slough, North Finger",27 Feb 2005,Dave Compton,Adult at Nest (clarify),Eucalyptus,20,Adult incubating,"S side of North Finger. Nesting recorded here the previous year. On 2 April 2005, D. Compton saw Adult sitting low in nest, but easily visible (as opposed to 27 February, when only visible when shifting positions). On 23 April 2005, D. Compton saw 1+ downy nestling sitting up, spreading its wings, which have no obvious flight feathers",34.41359,-119.87305,50,5,,Compton field notes,-13344206.885836622,4084473.1824326273
679,American Crow,AMCR,Corvus brachyrhynchos,"Santa Barbara, Pershing Park",5 Mar 2005,Dave Compton,Carrying Nesting Material,fig,12,2 adults warily carrying twigs into a clump of leaves.,,34.4082793,-119.6952817,60,4,,Compton field notes,-13324417.809201434,4083756.6001743847
680,Bushtit,BUSH,Psaltriparus minimus,"Goleta, Tecolotito Ck",5 Mar 2005,Dave Compton,Nest Building,Eucalyptus,1.7,"2 adults building nest, carrying willow seed fluff to full-size nest structure",at railroad tracks,34.4346232,-119.8631973,70,9,,Compton field notes,-13343110.088289682,4087311.676861305
682,Mourning Dove,MODO,Zenaida macroura,"Santa Barbara, Pershing Park",5 Mar 2005,Dave Compton,Carrying Nesting Material,palm?,3.5,Bird carrying twig into lower part of tree's crown.,,34.4082793,-119.6952817,60,4,,Compton field notes,-13324417.809201434,4083756.6001743847
683,Bushtit,BUSH,Psaltriparus minimus,"Goleta, Atascadero Ck",6 Mar 2005,Dave Compton,Nest Building,Willow and Cape Ivy,2,"pair building nest (half built), with willow seed fluff", nr Patterson,34.4248742,-119.8074506,25,7,,Compton field notes,-13336904.394032279,4085995.9308151146
685,Northern Rough-winged Swallow,NRWS,Stelgidopteryx serripennis,"Cachuma Lake, Cachuma Bay",11 Mar 2005,Halli Pedersen,Cavity Nester Attending Cavity,cliff,,10 adults around at least 2 holes with birds flying in and out,,34.5906045,-119.9430524,200,228,,,-13351999.517358929,4108384.1747891223
686,American Crow,AMCR,Corvus brachyrhynchos,"Goleta, San Antonio Ck Trail",13 Mar 2005,Dave Compton,Nest Building,Coast Live Oak,13,pair building mostly completed nest (can still see through it from below),At Kiwanis Meadows. Stick platform near top of tree in crook of small branches,34.454038,-119.7825273,70,66,,Compton field notes,-13334129.94496739,4089932.3974044155
687,Hutton's Vireo,HUVI,Vireo huttoni,"Goleta, San Antonio Ck Trail",13 Mar 2005,Dave Compton,Carrying Nesting Material,,,"pair, with one gathering nesting material (spider web?)",,34.45684,-119.78159,200,81,,Compton field notes,-13334025.60520867,4090310.677665235
688,Belted Kingfisher,BEKI,Megaceryle alcyon,"Goleta, SoCal Gas Plant, nr Goleta Slough mouth",14 Mar 2005,Wes Fritz,Nest Building,cliff,,"pair excavating hole in bluff. On 28 March 2005, Greaves observed pair still excavating same hole in bluff.  On 18 May 2005, Braunger observed pair excavating a second nest hole in bluff.",,34.41812,-119.82742,10,9,,,-13339127.377471726,4085084.4594026473
689,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"Goleta, Fairview x Daley (Hertz building)",14 Mar 2005,Dave Compton,Nest Building,building,6,5 nests under construction,Under eaves of stucco building in light industrial area near two creeks,34.42979,-119.83009,20,3,,"Compton field notes, Verhelle bridge project for URS",-13339424.600512143,4086659.3585937396
690,American Crow,AMCR,Corvus brachyrhynchos,"Santa Ynez Mtns, Windermere",15 Mar 2005,Mark Holmgren,Carrying Nesting Material,,,carrying nesting material , property near 5797 West Camino Cielo,34.50081,-119.82535,250,680,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338896.946125785,4096248.4523635674
691,Anna's Hummingbird,ANHU,Calypte anna,"Santa Ynez Mtns, nr San Marcos Pass",15 Mar 2005,Mark Holmgren,Adult at Nest (clarify),Coast Live Oak,3.66,"female incubating at Windermere Ranch above upper pond outflow, on nest, not successful by 3 April 2005",,34.50047,-119.82423,,676,,Holmgren's Natural History Notes 22 Apr 2011.doc.,-13338772.268296096,4096202.526244533
692,Red-tailed Hawk,RTHA,Buteo jamaicensis,"Cachuma Lake, Bobcat Bay",15 Mar 2005,Halli Pedersen,Adult at Nest (clarify),Coast Live Oak,,Adult on nest (incubating?),,34.5823389,-119.9355677,300,299,,,-13351166.32436619,4107266.531835991
693,American Crow,AMCR,Corvus brachyrhynchos,"Goleta, Fairview nr maintenance hanger at NE corner of airport",16 Mar 2005,David Kisner,Carrying Nesting Material,pine,10,"Two adults carrying sticks to nest approximately 50% of full size. On 21 March 2005, Compton notes: ""Adult carrying sticks to half-built nest; can see through easily from below."" On 11 April 2005, LaClaire observed ""Adult still apparently incubating. """,nest 2 for this year and location,34.4319078,-119.8319576,30,4,,"Compton field notes, Verhelle bridge project for URS",-13339632.500793148,4086945.1852066065
694,American Crow,AMCR,Corvus brachyrhynchos,"Goleta, Fairview nr maintenance hanger at NE corner of airport",16 Mar 2005,David Kisner,Carrying Nesting Material,pine,10,"Two adults carrying sticks to nest approximately 75% of full size. On 21 March 2005, Compton reports, ""One adult arriving at nest and taking the place of second, apparently incubating adult"".",nest 1 for this year and location,34.4314878,-119.8314103,40,4,,"Compton field notes, Verhelle bridge project for URS",-13339571.575635837,4086888.499779901
701,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"Goleta, Daley x S. Fairview",21 Mar 2005,Dave Compton,Nest Building,building,5,"Two nests completed or nearly completed, one with two adults standing on top. Two nests in the early stages of construction.",light industrial area near airport; See also other entry for this location and date,34.430455,-119.83009,30,5,,"Compton field notes, Verhelle bridge project for URS",-13339424.600512143,4086749.108827778
703,Red-shouldered Hawk,RSHA,Buteo lineatus,"Goleta, Hollister x Fairview",21 Mar 2005,Dave Compton,Visiting Probable Nest Site,palm,5.5,Adult flew into area with nest structure. Stage of breeding unclear.,commercial area,34.4359761,-119.830278,20,5,,"Compton field notes, Verhelle bridge project for URS",-13339445.528576413,4087494.2792875837
704,Song Sparrow,SOSP,Melospiza melodia,"Goleta, 500 S. Fairview",21 Mar 2005,Dave Compton,Carrying Nesting Material,,,"Adult carrying nesting material into low-lying ornamental vegetation, within territory of singing male.",Planted area between office building and parking lot.,34.43213,-119.82977,50,5,,"Compton field notes, Verhelle bridge project for URS",-13339388.97827509,4086975.174611858
705,Red-tailed Hawk,RTHA,Buteo jamaicensis,"Goleta Slough, between Areas K and J",24 Mar 2005,Dave Compton,Adult at Nest (clarify),Eucalyptus,10,"Adult sitting on the edge of the nest. On 6 Apr 2005, Adult sitting on nest.  On 13 April 2005, Adult sitting fairly low on nest.  On 4 May 2005, adult landing at edge of nest several times; one apparently downy young seen briefly. On 19 May 2005, Adult on edge of nest with at least two fairly large but entirely downy nestlings. One nestling walk around and stretched its wings, and defecated over the side of the nest.  On 1 June 2005, 2 chicks, still downy on head and body, but with wings growing in well.",It seems likely that there are young in the nest. Overhanging UCSB bluffs,34.41954,-119.84746,20,6,,"Compton field notes, airport project for URS",-13341358.220067224,4085276.080633974
706,Canada Goose,CANG,Branta canadensis,"Goleta Slough, Area A",25 Mar 2005,Dave Compton,Adult at Nest (clarify),Salicornia,0,"Adult sitting low in Salicornia, apparently incubating",Second adult nearby may have been mate.,34.4177856,-119.8376485,50,1,,"Compton field notes, airport project for URS",-13340266.008883305,4085039.334425488
709,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,Las Cruces,26 Mar 2005,Dave Compton,Nest Building,bridge,,"7+ nests at least at the building stage; birds also going to the opposite side of the bridge, which was not visible.  US 101 X Hwy 1","Many more nests structures were evident, but birds were only seen flying to 7. This observation was made from several hundred meters away.",34.51024,-120.22841,50,9,,Compton field notes,-13383765.38008492,4097522.301435773
710,Red-shouldered Hawk,RSHA,Buteo lineatus,"Goleta, San Jose Ck x Berkeley Rd",26 Mar 2005,Dave Compton,Carrying Nesting Material,,,"Nest material carry (stick). On 27 March 2005, Compton saw Adult flushed from nest near where bird carried nest material on the previous day.","See also entry for 27 March 2005. With Tingos, G.",34.44654,-119.81547,50,19,,Compton field notes,-13337797.109556746,4088920.202366828
711,White-throated Swift,WTSW,Aeronautes saxatalis,Las Cruces,26 Mar 2005,Dave Compton,Visiting Probable Nest Site,bridge,,8-10 in area where breeding was suspected in 2004.  US 101 X Hwy 1,Appears to be a location error.,34.50911,-120.22592,30,317,,Compton field notes,-13383488.194552844,4097369.648081878
713,Red-shouldered Hawk,RSHA,Buteo lineatus,"Santa Barbara, Rocky Nook Park",27 Mar 2005,Dave Compton,Carrying Nesting Material,,,Nest material carry (stick and possibly pine sprig),,34.4420424,-119.7122525,100,106,,Compton field notes,-13326306.99001579,4088313.090933695
715,Killdeer,KILL,Charadrius vociferus,"Goleta Slough, nr runway 15-33 and Area A",28 Mar 2005,David Kisner,Fledgling out of Nest--Brancher,,,"4 mobile, very recently hatched chicks, with 2 adults nearby",,34.4196051,-119.8384823,100,1,,"Compton field notes, airport project for URS",-13340358.827074727,4085284.865600831
717,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Ynez Mtns, Kinevan Rd",2 Apr 2005,Dave Compton,Carrying Nesting Material,,,"Female gathering nest material (shreds of wood spread on road edge) and repeatedly (seven or eight times) carrying it to the same location; male perched on prominent snag near nest, giving agitated ticking call when I come near","The nest is apparently less than 1m above the creek, among trees roots on a steep bank",34.5069639,-119.8209174,100,611,,Compton field notes,-13338403.511350894,4097079.733990216
719,Song Sparrow,SOSP,Melospiza melodia,"Carpinteria, Rincon Ck x Bates Rd",2 Apr 2005,Dave Compton,Carrying Food,,,Adult carrying food to begging fledglings,,34.3791334,-119.4752849,75,18,,Compton field notes,-13299927.877449287,4079824.701311884
720,Red-tailed Hawk,RTHA,Buteo jamaicensis,"Gaviota Coast, Farren Rd",3 Apr 2005,Dave Compton,Adult at Nest (clarify),Coast Live Oak,20,adult landing in tree top and disappearing in area of nest structure,,34.4484,-119.92485,150,54,,Compton field notes,-13349973.235459715,4089171.2852192707
